Rank,Name,City,State,Employees,Growth (%),Accelerator/Investor,Website,LinkedIn
1145,Talend,Redwood,CA,1027,9.26,Silver Lake/Iris,talend.com,http://www.linkedin.com/company/talend
1146,Sizmek,New York,NY,1035,-3.09,,sizmek.com,https://www.linkedin.com/company/sizmek
1147,Coursera,Mountain View,CA,1003,4.48,EDB/NEA,coursera.org,http://www.linkedin.com/company/coursera
1148,Anaplan,San Francisco,CA,1134,9.46,DFJ/Meritech,anaplan.com,http://www.linkedin.com/company/anaplan
1149,Github,San Francisco,CA,1019,6.81,Andreessen Horowitz/Sequoia,github.com,http://www.linkedin.com/company/github/
1150,Stripe,San Francisco,CA,1106,19.18,Y Combinator/Thrive,stripe.com,http://www.linkedin.com/company/stripe
1151,Eventbrite,San Francisco,CA,1025,10.81,Tiger/Sequoia,eventbrite.com,http://www.linkedin.com/company/eventbrite
1152,Rubicon Project,Playa Vista,CA,527,-10.53,Mayfield/Clearstone,rubiconproject.com,http://www.linkedin.com/company/the-rubicon-project
1153,DATEV eG,Nuremberg,,1017,2.11,,datev.com,https://www.linkedin.com/company/datev-eg
1154,MapR,San Jose,CA,549,-12.58,SVB,mapr.com,http://www.linkedin.com/company/mapr-technologies
1155,YuMe,Redwood City,CA,372,-23.30,Intel/Menlo,yume.com,http://www.linkedin.com/company/yume
1156,Marin Software,San Francisco,CA,492,-10.38,Crosslink/DAG,marinsoftware.com,http://www.linkedin.com/company/marin-software
1157,Autotask,East Greenbush,NY,295,-15.95,North Atlantic,autotask.com,http://www.linkedin.com/company/autotask-corporation
1158,Pentaho,Orlando,FL,204,-20.31,Index/NEA,pentaho.com,http://www.linkedin.com/company/pentaho
1159,Videology,New York,NY,260,-20.00,NEA/Valhalla,videologygroup.com,https://www.linkedin.com/company/videology-group
1160,Weebly,San Francisco,CA,307,-22.67,Sequoia/Tencent,weebly.com,http://www.linkedin.com/company/weebly
1162,QuestBack,New York,NY,247,-13.33,First Fellow/Reiten,questback.com,http://www.linkedin.com/company/questback
1163,Sysomos,Toronto,ON,110,-42.11,,sysomos.com,http://www.linkedin.com/company/sysomos-inc-
1164,Qubit,London,UK,197,-13.60,,qubit.com,http://www.linkedin.com/company/qubit-group
1165,Base CRM,Mountain View,CA,157,-29.28,,getbase.com,https://linkedin.com/company/base-crm
1167,Shmoop,Los Altos,CA,136,-17.58,,shmoop.com,http://www.linkedin.com/company/shmoop
1168,Imperva Incapsula,Redwood City,CA,201,-11.45,,incapsula.com,https://www.linkedin.com/company/incapsula/
1169,SAVO,Chicago,IL,106,-35.76,,savogroup.com,http://www.linkedin.com/company/the-savo-group
1170,Radius Intelligence,San Francisco,CA,137,-22.60,,radius.com,http://www.linkedin.com/company/radius-inc-
1171,Curalate,Philadelphia,PA,112,-23.81,,curalate.com,http://www.linkedin.com/company/curalate/
1172,LeadPages,Minneapolis,MN,71,-13.41,,leadpages.net,http://www.linkedin.com/company/leadpages
1173,ClearSlide,San Francisco,CA,92,-22.69,,clearslide.com,https://www.linkedin.com/company/clearslide-inc-
1174,TSheets,Valencia,CA,187,-14.22,Summit,tsheets.com,http://www.linkedin.com/company/tsheets-time-tracking-software
1175,Kayako,London,UK,126,-15.44,,kayako.com,http://www.linkedin.com/company/kayako
1176,VersionOne,Alpharetta,GA,79,-21.78,,versionone.com,http://www.linkedin.com/company/versionone
1177,Placester,Boston,MA,106,-23.74,,placester.com,http://www.linkedin.com/company/placester-inc
1178,Qstream,Burlington,MA,81,-25.00,,qstream.com,http://www.linkedin.com/company/qstream
1180,LeanKit,Franklin,TN,50,-35.90,,leankit.com,http://www.linkedin.com/company/leankit
1181,Act-On,Neuilly s/seine,,283,-17.25,TCV/NVP/Trinity/USVP,act-on.com,http://www.linkedin.com/company/act-on-software-inc.
1182,ScribbleLive,New York,NY,113,-23.13,,scribblelive.com,https://www.linkedin.com/company/scribblelive
1183,DoubleDutch,San Francisco,CA,92,-10.68,,doubledutch.me,http://www.linkedin.com/company/doubledutch
1184,Simply Measured,Seattle,WA,70,-27.08,,simplymeasured.com,http://www.linkedin.com/company/simply-measured
1185,Localytics,Boston,MA,110,-13.39,,localytics.com,http://www.linkedin.com/company/localytics
1186,Vya,Bethesda,MD,29,0.00,,vyasystems.com,http://www.linkedin.com/company/vyasystems
1187,WealthEngine,Bethesda,MD,101,-10.62,,wealthengine.com,http://www.linkedin.com/company/wealthengine
1188,Scribe Insight,Manchester,NH,101,-20.47,,scribesoft.com,http://www.linkedin.com/company/scribe-software
1189,ReadyTalk,Denver,CO,99,-18.85,,readytalk.com,http://www.linkedin.com/company/readytalk/
1190,PandaDoc,San Francisco,CA,138,-23.76,Rembrandt/Altos,pandadoc.com,https://www.linkedin.com/company/pandadoc
1191,OpenText,Waterloo,ON,10170,1.00,TCV,engage.opentext.com,https://www.linkedin.com/company/opentext
1192,Sencha,Redwood City,CA,61,-11.59,,sencha.com,http://www.linkedin.com/company/sencha-inc
1193,Grow,Provo,UT,99,-13.16,Peterson/Toba,grow.com,http://www.linkedin.com/company/go-grow
1194,Crowdtap,New York,NY,26,0.00,,crowdtap.com,https://www.linkedin.com/company/1069309?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1069309%2Cidx%3A1-1-1%2CtarId%3A1486723158274%2Ctas%3ACrowdtap%2C
1195,Jobscience,San Francisco,CA,63,-35.71,,jobscience.com,http://www.linkedin.com/company/jobscience
1196,eventmobi,Toronto,ON,81,-10.00,Bootstrapped,eventmobi.com,http://www.linkedin.com/company/eventmobi
1197,Tracx,Bethesda,MD,61,-14.08,,tracx.com,http://www.linkedin.com/company/tracx
1198,Formstack,Indianapolis,IN,109,-13.49,Bootstrapped,formstack.com,http://www.linkedin.com/company/formstack
1199,Growbots,San Francisco,CA,81,-19.00,Buran/Lighter,growbots.com,http://www.linkedin.com/company/growbots
1200,SnapApp,Boston,MA,63,-26.74,Providence Equity,snapapp.com,http://www.linkedin.com/company/snapapp
1201,Evoq Content,San Mateo,CA,49,-14.04,,dnnsoftware.com,http://www.linkedin.com/company/dotnetnuke-corporation
1202,Innotas,San Francisco,CA,34,-8.11,,innotas.com,http://www.linkedin.com/company/innotas
1203,Drift,Boston,MA,23,0.00,,drift.com,https://www.linkedin.com/company-beta/6636997/
1204,LookBookHQ,Toronto,ON,13,0.00,Edison Partners,lookbookhq.com,https://www.linkedin.com/company/lookbookhq
1205,ION Interactive,Boca Raton,FL,62,-10.14,,ioninteractive.com,http://www.linkedin.com/company/ion-interactive/
1206,SMTP.com,Cambridge,MA,32,10.34,,smtp.com,https://www.linkedin.com/company/smtp-com
1208,Ranorex,Clearwater,FL,69,-11.54,,ranorex.com,http://www.linkedin.com/company/ranorex-gmbh
1209,ClassDojo,San Francisco,CA,81,-10.99,,classdojo.com,http://www.linkedin.com/company/classdojo
1210,Code School,Orlando,FL,1427,14.90,,codeschool.com,http://www.linkedin.com/company/code-school
1211,HelloSign,San Francisco,CA,35,0.00,,hellosign.com,http://www.linkedin.com/company/hellofax
1212,Crowdfire,Lewes,DE,45,-27.42,,crowdfireapp.com,https://www.linkedin.com/company/crowdfire
1213,Iconixx,Austin,TX,30,-26.83,,iconixx.com,http://www.linkedin.com/company/iconixx-software-corporation
1214,LiquidPlanner,Seattle,WA,63,-12.50,TVC Capital,liquidplanner.com,https://www.linkedin.com/company/liquidplanner/
1215,Zarget,Walnut,CA,21,0.00,Sequoia Capital,zarget.com,http://www.linkedin.com/company/zarget
1216,Octiv,Indianapolis,IN,20,0.00,,octiv.com,https://www.linkedin.com/company/octiv/
1217,UserVoice,San Francisco,CA,57,-13.64,,uservoice.com,http://www.linkedin.com/company/uservoice
1218,Kissmetrics,San Francisco,CA,44,-20.00,,kissmetrics.com,http://www.linkedin.com/company/kissmetrics
1219,Consensus,American Fork,UT,32,-3.03,,goconsensus.com,https://www.linkedin.com/company/getconsensus
1220,Results.com,San Francisco,CA,16,0.00,,results.com,https://www.linkedin.com/company/net-results
1221,Statistica,Tulsa,Ok,34,-5.56,,statistica.io,https://www.linkedin.com/company/statistica
1222,Desk.com,San Francisco,CA,38,-7.32,,desk.com,http://www.linkedin.com/company/desk
1223,Repsly,Boston,MA,2,0.00,LaunchPad,repsly.com,http://www.linkedin.com/company/salespod
1224,RingLead,Melville,NY,72,-13.25,,ringlead.com,https://www.linkedin.com/company/ringlead-inc-
1225,Curata,Boston,MA,23,0.00,,curata.com,http://www.linkedin.com/company/curata
1226,Mindmatrix,Pittsburgh,PA,26,0.00,,mindmatrix.net,http://www.linkedin.com/company/mindmatrix-inc
1227,Audiense,San Francisco,CA,33,-8.33,,audiense.com,https://www.linkedin.com/company/audiense
1228,Highspot,Seattle,WA,68,-22.73,Shasta/Madrona,highspot.com,http://www.linkedin.com/company/highspot
1229,Redbooth,Redwood City,CA,38,-11.63,,redbooth.com,http://www.linkedin.com/company/redbooth-inc-
1230,Amicus Attorney,Toronto,ON,32,-3.03,,amicusattorney.com,http://www.linkedin.com/company/gavel-&-gown-software-inc-
1231,SeatAdvisor,San Diego,CA,35,-7.89,,seatadvisor.com,http://www.linkedin.com/company/seatadvisor
1232,WorkBook,Pittsburgh,PA,35,-2.78,,workbook.net,https://www.linkedin.com/company/workbook
1233,Bunchball,Redwood City,CA,34,-17.07,,bunchball.com,http://www.linkedin.com/company/bunchball
1234,iMeet,Pasadena,CA,39,-11.36,,imeetcentral.com,http://www.linkedin.com/company/central-desktop
1235,ownCloud,Nuremberg,,6,0.00,General Catalyst,owncloud.org,https://www.linkedin.com/company/owncloud/
1236,Propellerhead Software,Stockholm,SWE,36,-5.26,,propellerheads.se,https://www.linkedin.com/company-beta/6428902/
1237,Skura,Oakville,ON,35,-5.41,,skura.com,http://www.linkedin.com/company/skura-corporation
1238,Workbooks.com,Reading,Berkshire,35,-5.41,,workbooks.com,https://www.linkedin.com/company/workbook
1239,Izenda,Atlanta,GA,41,-21.15,Ethos/Hawthorne,izenda.com,http://www.linkedin.com/company/izenda
1240,UserReplay,Morristown,NJ,40,-18.37,,userreplay.com,http://www.linkedin.com/company/userreplay
1241,Entomo,Bellevue,WA,38,-2.56,,entomo.com,http://www.linkedin.com/company/entomo
1242,Ingeniux CMS,Seattle,WA,39,0.00,,ingeniux.com,http://www.linkedin.com/company/ingeniux-corporation
1243,17Hats,Los Angeles,CA,25,0.00,,17hats.com,http://www.linkedin.com/company/17hats
1244,Function Point,Vancouver,BC,36,0.00,,functionpoint.com,http://www.linkedin.com/company/function-point-productivity-software
1245,Ccleaner,London,UK,29,0.00,,piriform.com,http://www.linkedin.com/company/piriform
1246,Shpatron,San Luis Obispo,CA,32,-3.03,,shopatron.com,https://www.linkedin.com/company/shopatron
1247,Synthio,Atlanta,GA,43,-14.00,,synthio.com,https://www.linkedin.com/company/synthio/
1248,BrightFunnel,San Francisco,CA,29,0.00,Crosslink,brightfunnel.com,http://www.linkedin.com/company/brightfunnel
1249,Business Hangouts,Los Angeles,CA,38,0.00,,businesshangouts.io,https://www.linkedin.com/company/businesshangouts
1250,Full Circle Insights,San Mateo,CA,36,-10.00,,fullcircleinsights.com,https://www.linkedin.com/company/fullcircleinsights
1251,Noosh,Mountain View,CA,39,0.00,,noosh.com,http://www.linkedin.com/company/noosh-inc-/
1252,SellerActive,Portland,OR,31,-31.11,,selleractive.com,http://www.linkedin.com/company/selleractive
1253,Social Toaster,Baltimore,MD,33,3.13,,socialtoaster.com,http://www.linkedin.com/company/socialtoaster-inc
1254,emplo,Atlanta,GA,38,-5.00,,emplo.com,https://www.linkedin.com/company/emplo
1255,Gliffy,San Francisco,CA,39,-2.50,,gliffy.com,http://www.linkedin.com/company/gliffy
1256,Numetric,American Fork,UT,35,-32.69,EPIC,numetric.com,https://www.linkedin.com/company/numetric
1257,PostBeyond,TORONTO,ON,34,3.03,,postbeyond.com,https://www.linkedin.com/company/postbeyond
1259,Ebsta,London,UK,36,-5.26,,ebsta.com,http://www.linkedin.com/company/ebsta
1260,eNom,Kirkland,WA,38,-7.32,,enom.com,http://www.linkedin.com/company/enom
1265,LastPass,Fairfax,VA,31,0.00,,lastpass.com,http://www.linkedin.com/company/lastpass
1267,Livefyre,San Francisco,CA,30,0.00,,livefyre.com,http://www.linkedin.com/company/livefyre
1268,SmartDraw,San Diego,CA,37,-5.13,,smartdraw.com,http://www.linkedin.com/company/smartdraw-software-llc
1270,123Signup,San Jose,CA,37,0.00,,123signup.com,http://www.linkedin.com/company/123signup
1272,gShift,Barrie,ON,30,-3.23,,gshiftlabs.com,http://www.linkedin.com/company/gshift-labs
1273,Omniconvert,Bucharest,,37,0.00,,omniconvert.com,https://www.linkedin.com/company/omniconvert
1275,Compas ATS,San Francisco,CA,3807,40.17,,mycompas.com,https://www.linkedin.com/company/compassinc
1276,Nutshell CRM,Ann Arbor,MI,30,0.00,,nutshell.com,http://www.linkedin.com/company/nutshell-llc
1277,Olark,San Francisco,CA,33,-10.81,Y Combinator,olark.com,http://www.linkedin.com/company/olark
1280,Shoeboxed,Durham,NC,35,-2.78,,shoeboxed.com,http://www.linkedin.com/company/shoeboxed
1281,AlphaBricks,West Wing,IND,31,0.00,,alphabricks.com,https://www.linkedin.com/company/alphabricks
1282,BIME Analytics,Montpellier,,34,0.00,,bimeanalytics.com,http://www.linkedin.com/company/bimeanalytics
1284,Axure RP,San Diego,CA,38,0.00,,axure.com,http://www.linkedin.com/company/axure-software-solutions
1285,PipelineDeals,Seattle,WA,36,-2.70,,pipelinedeals.com,http://www.linkedin.com/company/pipelinedeals-com
1289,MyEclipse,Flower Mound,TX,31,0.00,,genuitec.com,https://www.linkedin.com/company/genuitec-llc/
1290,Nagios,Saint Paul,MN,35,0.00,,nagios.com,http://www.linkedin.com/company/nagios-enterprises-llc
1291,Personify Presenter,Chicago,IL,30,0.00,,personifyinc.com,http://www.linkedin.com/company/personify-inc
1292,Axosoft,Scottsdale,AZ,34,9.68,,axosoft.com,http://www.linkedin.com/company/axosoft
1293,Cloud Foundry,San Francisco,CA,31,0.00,,cloudfoundry.org,http://www.linkedin.com/company/cloud-foundry
1295,quintly,Cologne,GER,31,0.00,,quintly.com,https://www.linkedin.com/company/quintly
1296,TeamSupport,Dallas,TX,38,2.70,,teamsupport.com,https://www.linkedin.com/company/teamsupport-com/
1298,XMind,,,39,2.63,,xmind.net,https://www.linkedin.com/company/xmind-ltd
1302,Chartio,San Francisco,CA,39,0.00,Y Combinator,chartio.com,https://www.linkedin.com/company/chartio
1303,SignEasy,San Francisco,CA,38,-11.63,,getsigneasy.com,http://www.linkedin.com/company/signeasy
1305,Infinity HR,Burtonsville,MD,38,15.15,,infinitihr.com,http://www.linkedin.com/company/infiniti-hr
1308,SnapEngage,Boulder,CO,32,-3.03,,snapengage.com,http://www.linkedin.com/company/snapengage
1309,Snap Surveys,Thornbury,,32,-8.57,,snapsurveys.com,http://www.linkedin.com/company/snap-surveys
1310,GameMaker,Dundee,,35,-2.78,,yoyogames.com,http://www.linkedin.com/company/yoyo-games-ltd.
1311,AnswerDash,Seattle,WA,36,-2.70,,answerdash.com,https://www.linkedin.com/company/answerdash/
1315,IntelligenceBank DAM,Southbank,VIC,33,10.00,,intelligencebank.com,http://www.linkedin.com/company/intelligencebank-pty-ltd
1316,KickFire,San Jose,CA,31,0.00,,kickfire.com,https://www.linkedin.com/company/kickfire-inc
1317,Sotrender,,,39,11.43,,sotrender.com,https://www.linkedin.com/company/sotrender
1318,BugSnag,San Francisco,CA,38,0.00,,bugsnag.com,http://www.linkedin.com/company/bugsnag
1320,ExperLogix,South Jordan,UT,36,9.09,,experlogix.com,http://www.linkedin.com/company/experlogix-inc.
1322,Slice Intelligence,Palo Alto,CA,35,-7.89,,intelligence.slice.com,https://www.linkedin.com/company/slice-intelligence
1323,People HR,Doncaster,,35,6.06,,peoplehr.com,http://www.linkedin.com/company/peoplehr-apps
1324,Privco,New York,NY,31,-6.06,,privco.com,https://www.linkedin.com/company/privco-media-llc
1325,Selenium IDE,,,38,-2.56,,seleniumhq.org,https://www.linkedin.com/company/selenium
1326,YouMail,Irvine,CA,34,0.00,,youmail.com,http://www.linkedin.com/company/youmail-inc
1327,DocSend,San Francisco,CA,31,-11.43,,docsend.com,http://www.linkedin.com/company/docsend
1329,Kindful,Nashville,TN,31,-3.13,,kindful.com,http://www.linkedin.com/company/trail
1330,KeyCreator,Marlborough,MA,32,0.00,,kubotek3d.com,http://www.linkedin.com/company/kubotek-usa
1331,NinjaCat,New York,NY,39,11.43,Bootstrapped,ninjacat.io,http://www.linkedin.com/company/ninjacat
1332,SearchForce,San Mateo,CA,30,-3.23,,searchforce.com,http://www.linkedin.com/company/searchforce
1333,Travis CI,Berlin,GER,38,-5.00,,travis-ci.com,https://www.linkedin.com/company/travis-ci
1334,Umbraco,Odense,,35,12.90,,umbraco.com,https://www.linkedin.com/company/umbraco
1335,Aplos,Fresno,CA,31,0.00,,aplos.com,http://www.linkedin.com/company/aplos-software-llc
1336,ClickTime,San Francisco,CA,33,-2.94,,clicktime.com,https://www.linkedin.com/company/clicktime-com
1338,Journyx,Austin,TX,34,6.25,,journyx.com,http://www.linkedin.com/company/journyx-inc
1340,Oceanos,Marshfield,MA,30,-6.25,,oceanosinc.com,http://www.linkedin.com/company/oceanos
1342,QuickTapSurvey,Toronto,ON,34,-2.86,,quicktapsurvey.com,http://www.linkedin.com/company/quicktapsurvey
1344,Z Buyer,Springfield,MO,37,2.78,,zbuyer.com,http://www.linkedin.com/company/zbuyer
1345,Zoomph,Reston,VA,37,54.17,,zoomph.com,http://www.linkedin.com/company/zoomph
1346,CDN77.com,London,UK,34,3.03,,cdn77.com,https://www.linkedin.com/company/cdn77-com
1347,FlippingBook,New York,NY,32,0.00,,flippingbook.com,https://www.linkedin.com/company/flippingbook
1348,seoClarity,Des Plaines,IL,34,6.25,,seoclarity.net,http://www.linkedin.com/company/seoclarity
1349,Relational Junction,Santa Clara,CA,34,6.25,,sesamesoftware.com,http://www.linkedin.com/company/sesame-software
1350,SignUpGenius,Charlotte,NC,32,3.23,,signupgenius.com,http://www.linkedin.com/company/signupgenius
1351,Small Improvements,Berlin,GER,34,9.68,,small-improvements.com,https://www.linkedin.com/company/small-improvements
1352,Active Collab,Norfolk,VA,35,-7.89,,activecollab.com,https://www.linkedin.com/company/activecollab
1353,AirParrot,North Canton,OH,30,15.38,,airsquirrels.com,http://www.linkedin.com/company/squirrels-llc
1354,Balsamiq,San Francisco,CA,33,6.45,,balsamiq.com,https://www.linkedin.com/company/balsamiq
1355,Celtx,St. John'S,NL,32,3.23,,celtx.com,https://www.linkedin.com/company/celtx
1356,KeyShot,Tustin,CA,36,5.88,,keyshot.com,http://www.linkedin.com/company/luxion-aps---keyshot
1358,MavSocial,San Francisco,CA,31,-3.13,,mavsocial.com,https://www.linkedin.com/company/maventus-group/
1359,Reply.io,Toronto,ON,38,2.70,,reply.io,http://www.linkedin.com/company/reachout-io
1360,Sentry,,,2839,-0.80,NEA/Accel,sentry.io,https://www.linkedin.com/company/sentry
1364,Close.io,Palo Alto,CA,32,0.00,Y Combinator,close.io,http://www.linkedin.com/company/elastic-inc-
1369,Retain,London,UK,33,-2.94,,retaininternational.com,http://www.linkedin.com/company/retain-international
1372,VUE,Coconut Creek,FL,35,16.67,,vuesoftware.com,http://www.linkedin.com/company/vue-software
1373,Woorank,Brussels,BEL,28,0.00,,woorank.com,https://www.linkedin.com/company/woorank
1376,Assistance PSA,Chicago,IL,20,0.00,,assistancesoftware.com,https://www.linkedin.com/company/assistance-software
1377,BigTime,Chicago,IL,29,0.00,,bigtime.net,http://www.linkedin.com/company/bigtime-software-inc-
1380,Datahug,San Francisco,CA,31,-3.13,,datahug.com,http://www.linkedin.com/company/datahug
1381,Folloze,Palo Alto,CA,34,6.25,,folloze.com,http://www.linkedin.com/company/folloze
1382,Iconosquare,Limoges,FRA,31,14.81,,iconosquare.com,https://www.linkedin.com/company/iconosquare
1383,Intellect,Los Angeles,CA,30,0.00,,intellect.com,http://www.linkedin.com/company/interneer
1385,MerlinOne,Quincy,MA,31,3.33,,merlinone.com,http://www.linkedin.com/company/merlinone
1388,Appointy,Bhopal,MP,36,0.00,,appointy.com,https://www.linkedin.com/company/appointy-inc
1390,CATS,Minneapolis,MN,31,3.33,,catsone.com,http://www.linkedin.com/company/cats-software-inc
1391,DemandFarm,Pune,MH,26,0.00,,demandfarm.com,https://www.linkedin.com/company/demandfarm
1392,Doodle,Zurich,SUI,37,19.35,,doodle.com,https://www.linkedin.com/company/doodle-ag
1394,Majestic,Reno,NV,29,0.00,,majestic.com,http://www.linkedin.com/company/majesticseo
1395,Trakstar,Seattle,WA,34,21.43,,trakstar.com,https://www.linkedin.com/company/trakstar
1396,TrialWorks,Coral Gables,FL,33,3.13,,trialworks.com,https://www.linkedin.com/company/trialworks
1397,Workamajig,Phoenix,AZ,28,0.00,,workamajig.com,http://www.linkedin.com/company/workamajig
1399,Abacus,New York,NY,32,33.33,,abacus.com,http://www.linkedin.com/company/abacus-labs
1400,Ahrefs,Los Angeles,CA,30,0.00,,ahrefs.com,https://www.linkedin.com/company/ahrefs
1402,eloomi,S,,36,12.50,,eloomi.com,https://www.linkedin.com/company/eloomi
1405,AskNicely,Auckland,NZ,38,31.03,,asknicely.com,https://www.linkedin.com/company/ask-nicely
1409,HeyOrca,St. John's,Canada,38,2.70,,heyorca.com,https://www.linkedin.com/company/heyorca
1413,Reviewsnap,Ankeny,IA,23,0.00,,reviewsnap.com,http://www.linkedin.com/company/reviewsnap
1417,Wagepoint,Halifax,NS,30,0.00,,wagepoint.com,http://www.linkedin.com/company/wagepoint
1431,Triblio,Reston,VA,31,0.00,,triblio.com,http://www.linkedin.com/company/triblio
1433,ArangoDB,Cologne,GER,32,10.34,,arangodb.com,https://www.linkedin.com/company/arangodb
1439,Jungle Disk,Suwanee,GA,30,0.00,,jungledisk.com,https://www.linkedin.com/company/jungle-disk-inc-
1443,Recruitee,Amsterdam,NET,33,-17.50,,recruitee.com,https://www.linkedin.com/company/recruitee
1447,Venngage,Toronto,ON,30,0.00,,venngage.com,http://www.linkedin.com/company/venngage
1460,SoGoSurvey,Herndon,VA,33,0.00,,sogosurvey.com,https://www.linkedin.com/company/sogosurvey-inc
1462,UpCloud,,,32,14.29,,upcloud.com,https://www.linkedin.com/company/upcloud
1470,globaledit,New York,NY,27,0.00,,globaledit.com,http://www.linkedin.com/company/globaledit
1472,Mixmax,San Francisco,CA,34,47.83,,Mixmax.com,http://www.linkedin.com/company/mixmax-inc-
1485,Hiver,Palo Alto,CA,34,36.00,,hiverhq.com,https://www.linkedin.com/company/grexit
1490,SumAll,New York,NY,26,0.00,,sumall.com,http://www.linkedin.com/company/sumall
1493,Ximble,Carlsbad,CA,32,0.00,,ximble.com,https://www.linkedin.com/company/ximble
1506,Clearbit,San Francisco,CO,36,28.57,,clearbit.com,http://www.linkedin.com/company/clearbit
1554,Atiim,Boston,MA,33,37.50,,atiim.com,https://www.linkedin.com/company-beta/10026548/
1557,ContractRoom,Miami,FL,37,0.00,,contractroom.com,http://www.linkedin.com/company/contractroom
1594,Akamai,Cambridge,MA,6578,-4.36,,akamai.com,http://www.linkedin.com/company/akamai-technologies
1863,Hudson,Genoa,,2245,-3.65,,hudson-ci.org,https://www.linkedin.com/company/hudson
1881,Kahoot!,Oslo,NOR,72,-13.25,Creandum/Northzone,kahoot.it,https://www.linkedin.com/company/kahoot
1889,Mailigen,New York,NY,32,-8.57,,mailigen.com,https://www.linkedin.com/company/mailigen
1893,Boomtrain,San Francisco,CA,31,0.00,,boomtrain.com,http://www.linkedin.com/company/boomtrain
1898,CloudCraze,Chicago,IL,77,-30.63,Insight,cloudcraze.com,http://www.linkedin.com/company/cloudcraze
1899,Veeam,Columbus,OH,3133,63.60,Insight,veeam.com,http://www.linkedin.com/company/veeam-software
1903,Avidian,Bellevue,WA,32,-3.03,,avidian.com,http://www.linkedin.com/company/avidian-technologies
1904,ExecVision,Arlington,VA,31,19.23,,execvision.com,https://www.linkedin.com/company/execvision
1907,Salesboom.com,Halifax,NS,33,-2.94,,salesboom.com,http://www.linkedin.com/company/salesboom.com
1908,Delacon,Sydney,AUS,34,13.33,,Delacon.com.au,https://www.linkedin.com/company/delacon-pty-ltd
1914,MarketMuse,Boston,MA,25,-34.21,,MarketMuse.com,https://www.linkedin.com/company/marketmuse
1926,iContact,Morrisville,NC,30,15.38,,icontact.com,http://www.linkedin.com/company/icontact
1928,maropost,Toronto,ON,126,-15.44,Elephant/Highland Europe,maropost.com,http://www.linkedin.com/company/maropost
1941,AirPR,San Francisco,CA,35,34.62,,airpr.com,http://www.linkedin.com/company/airpr
1943,DialSource,Sacramento,CA,34,0.00,,dialsource.com,https://www.linkedin.com/company/dialsource
1944,Convoso,Woodland Hills,CA,39,8.33,,convoso.com,https://www.linkedin.com/company/convoso
1945,UserIQ,Atlanta,GA,36,24.14,,useriq.com,http://www.linkedin.com/company/useriq
1946,Dubber,Melbourne,AUS,39,0.00,,dubber.net,http://www.linkedin.com/company/dubber
1948,9Lenses,Vienna,VA,46,-11.54,CEB/Kinetic,9Lenses.com,http://www.linkedin.com/company/9lenses
1951,Avaamo,Los Altos,CA,32,14.29,,Avaamo.com,http://www.linkedin.com/company/avaamo
1954,Halo,San Diego,CA,36,-2.70,,halobi.com,http://www.linkedin.com/company/halo-business-intelligence
1956,SearchSpring,Denver,CO,33,3.13,,SearchSpring.com,https://www.linkedin.com/company/searchspring
1957,Databox,Cambridge,MA,38,-2.56,,Databox.com,https://www.linkedin.com/company/databoxhq
1959,Metamarkets,San Francisco,CA,32,-5.88,Khosla/iA,Metamarkets.com,http://www.linkedin.com/company/metamarkets
1962,shopgate,Austin,TX,126,-12.50,,shopgate.com,https://www.linkedin.com/company/shopgate
1965,Teamable,San Francisco,CA,44,-15.38,,Teamable.com,https://www.linkedin.com/company/teamableme
1966,ServiceNow,Santa Clara,CA,6619,-9.05,Sequoia/JMI,servicenow.com,https://www.linkedin.com/company/servicenow
1967,Badger Maps,San Francisco,CA,31,-20.51,,badgermapping.com,https://www.linkedin.com/company/badger-mapping-solutions
1971,VictorOps,Boulder,CO,49,-41.67,Shea/Costanoa/Foundry,victorops.com,https://www.linkedin.com/company/victorops-inc-
1975,sendwithus,San Francisco,CA,35,16.67,Y Combinator,sendwithus.com,https://www.linkedin.com/company/sendwithus
1979,Adverity,Vienna,AUS,33,32.00,25,adverity.com,https://www.linkedin.com/company/adverity-gmbh
1985,Practice Ignition,Sydney,NSW,31,0.00,Equity VP,practiceignition.com,https://www.linkedin.com/company/practice-ignition/
1987,Aladtec,River Falls,WI,33,-2.94,,aladtec.com,https://www.linkedin.com/company/aladtec-inc-/
1988,Invotra,Woking,SUR,31,10.71,Bootstrapped,invotra.com,https://www.linkedin.com/company/invotra/
1991,DashThis,Quebec City,QC,30,7.14,,dashthis.com,https://www.linkedin.com/company/trimali-technologies/
1994,Wallarm,Menlo Park,CA,37,5.71,Partech,wallarm.com,https://www.linkedin.com/company/wallarm/
